C0000005	STATUS_ACCESS_VIOLATION
C0000006	STATUS_IN_PAGE_ERROR
C000001D	STATUS_ILLEGAL_INSTRUCTION
C0000026	STATUS_INVALID_DISPOSITION
C0000094	STATUS_INTEGER_DIVIDE_BY_ZERO
C0000095	STATUS_INTEGER_OVERFLOW
C0000096	STATUS_PRIVILEGED_INSTRUCTION
C00000FD	STATUS_STACK_OVERFLOW
C0000144	STATUS_UNHANDLED_EXCEPTION
C000014B	STATUS_PIPE_BROKEN

